更新时间,#genre#
CCTV-13,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000041$湖北酒店源
CCTV-14,http://49.234.31.101:7004udp://@224.9.2.36:5000$北京酒店源
CCTV-14,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000362$湖北酒店源
CCTV-14,http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.21.14:10001$广东酒店源
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000587$湖北酒店源
CCTV-15,http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.21.92:10001$广东酒店源
CCTV-15,http://49.234.31.101:7004udp://@224.9.2.37:5000$北京酒店源
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/00000001000000050000000000000580$湖北酒店源
CCTV-17,http://49.234.31.101:7004udp://@224.9.2.38:5000$北京酒店源
CETV1,http://221.12.38.165:6610/zjhs/2/10060/index.m3u8?virtualDomain=zjhs.live_hls.zte.com$广东酒店源
CETV4,http://221.12.38.165:6610/zjhs/2/10124/index.m3u8?virtualDomain=zjhs.live_hls.zte.com$广东酒店源

💰央视付费频道,#genre#
文化精品,http://121.232.178.93:5000/rtp/239.49.9.11:6000$江苏电信组播源
文化精品,http://121.232.178.93:5000/rtp/239.49.1.66:6000$江苏电信组播源
文化精品,http://121.24.98.194:8090/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://121.24.98.180:8090/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://101.23.216.69:8090/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://101.75.215.35:8008/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://121.24.98.229:8090/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://121.24.99.34:8090/rtp/239.253.92.25:6104$河北联通组播源
文化精品,http://121.24.98.194:8090/rtp/239.253.93.175:6439$河北联通组播源
文化精品,http://121.24.98.180:8090/rtp/239.253.93.175:6439$河北联通组播源
风云音乐,http://121.232.178.93:5000/rtp/239.49.9.13:6000$江苏电信组播源
风云音乐,http://121.232.178.93:5000/rtp/239.49.1.68:6000$江苏电信组播源
风云音乐,http://111.78.22.98:9901/rtp/239.252.219.87:5140$江西电信组播源
风云音乐,http://121.24.98.194:8090/rtp/239.253.92.111:8060$河北联通组播源
风云音乐,http://121.24.98.180:8090/rtp/239.253.92.111:8060$河北联通组播源
风云音乐,http://101.23.216.69:8090/rtp/239.253.92.111:8060$河北联通组播源
风云音乐,http://101.75.215.35:8008/rtp/239.253.92.111:8060$河北联通组播源
